2025-07-18 00:17:53.684 | INFO     | __main__:__init__:20 - Initializing CampaignWorkflow...
2025-07-18 00:17:53.685 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:17:54.159 | INFO     | workflows.graphs.campaign.nodes.segment_node:__init__:45 - UserSegmenter initialized successfully.
2025-07-18 00:24:22.072 | INFO     | __main__:__init__:20 - Initializing CampaignWorkflow...
2025-07-18 00:24:22.074 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:24:22.515 | INFO     | workflows.graphs.campaign.nodes.segment_node:__init__:45 - UserSegmenter initialized successfully.
2025-07-18 00:24:22.516 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:24:22.832 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:37 - RecommendNode initialized successfully with recommendation generation chain.
2025-07-18 00:24:22.833 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:24:23.198 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:36 - GenerateAdNode initialized successfully with ad generation chain.
2025-07-18 00:24:23.198 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:24:23.608 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:44 - HumanReviewRouter initialized successfully
2025-07-18 00:24:23.609 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:16 - FeedbackLoopNode initialized successfully.
2025-07-18 00:36:13.375 | INFO     | __main__:__init__:20 - Initializing CampaignWorkflow...
2025-07-18 00:36:13.377 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:36:13.819 | INFO     | workflows.graphs.campaign.nodes.segment_node:__init__:45 - UserSegmenter initialized successfully.
2025-07-18 00:36:13.819 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:36:14.125 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:37 - RecommendNode initialized successfully with recommendation generation chain.
2025-07-18 00:36:14.125 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:36:14.446 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:36 - GenerateAdNode initialized successfully with ad generation chain.
2025-07-18 00:36:14.447 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:36:14.761 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:44 - HumanReviewRouter initialized successfully
2025-07-18 00:36:14.763 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:16 - FeedbackLoopNode initialized successfully.
2025-07-18 00:36:14.763 | INFO     | __main__:_build_graph:56 - Workflow graph defined.
2025-07-18 00:36:14.772 | INFO     | __main__:__init__:30 - PersonaWorkflow initialized successfully
2025-07-18 00:36:14.773 | INFO     | __main__:_build_graph:56 - Workflow graph defined.
2025-07-18 00:36:14.778 | INFO     | __main__:__init__:33 - CampaignWorkflow initialized successfully
2025-07-18 00:36:14.778 | INFO     | __main__:run:95 - Running CampaignWorkflow for user_id=abc, query='Launch summer sale campaign for Gen Z'
2025-07-18 00:36:14.789 | ERROR    | workflows.graphs.campaign.nodes.segment_node:process:76 - Segmentation failed: 'Input to ChatPromptTemplate is missing variables {\'"segments"\', \'user_profile\'}.  Expected: [\'"segments"\', \'user_profile\'] Received: [\'input\']\nNote: if you intended {"segments"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{"segments"}}\'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT '
2025-07-18 00:36:14.789 | ERROR    | __main__:run:108 - Workflow run failed: "GraphState" object has no field "segmenter_ready"
2025-07-18 00:36:14.793 | WARNING  | __main__:get_graph_structure:72 - Pyppeteer not installed. Run: pip install pyppeteer
2025-07-18 00:36:16.157 | INFO     | __main__:main:143 - Saved campaign graph structure as campaign_graph_structure.png
2025-07-18 00:40:49.644 | INFO     | __main__:__init__:20 - Initializing CampaignWorkflow...
2025-07-18 00:40:49.646 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:40:50.085 | INFO     | workflows.graphs.campaign.nodes.segment_node:__init__:45 - UserSegmenter initialized successfully.
2025-07-18 00:40:50.086 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:40:50.390 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:37 - RecommendNode initialized successfully with recommendation generation chain.
2025-07-18 00:40:50.391 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:40:50.713 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:36 - GenerateAdNode initialized successfully with ad generation chain.
2025-07-18 00:40:50.714 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:40:51.041 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:44 - HumanReviewRouter initialized successfully
2025-07-18 00:40:51.041 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:16 - FeedbackLoopNode initialized successfully.
2025-07-18 00:40:51.043 | INFO     | __main__:_build_graph:53 - Workflow graph defined.
2025-07-18 00:40:51.050 | INFO     | __main__:__init__:30 - CampaignOrchestrator initialized successfully
2025-07-18 00:40:51.050 | INFO     | __main__:run:92 - Running CampaignWorkflow for user_id=userghohp yih, query='Launch summer sale campaign for Gen Z'
2025-07-18 00:40:51.059 | ERROR    | workflows.graphs.campaign.nodes.segment_node:process:79 - Segmentation failed: 'Input to ChatPromptTemplate is missing variables {\'"segments"\'}.  Expected: [\'"segments"\', \'user_profile\'] Received: [\'user_profile\', \'segments\']\nNote: if you intended {"segments"} to be part of the string and not a variable, please escape it with double curly braces like: \'{{"segments"}}\'.\nFor troubleshooting, visit: https://python.langchain.com/docs/troubleshooting/errors/INVALID_PROMPT_INPUT '
2025-07-18 00:40:51.060 | ERROR    | __main__:run:105 - Workflow run failed: "GraphState" object has no field "segmenter_ready"
2025-07-18 00:40:51.063 | WARNING  | __main__:get_graph_structure:69 - Pyppeteer not installed. Run: pip install pyppeteer
2025-07-18 00:40:53.665 | INFO     | __main__:main:140 - Saved campaign graph structure as campaign_graph_structure.png
2025-07-18 00:50:16.557 | INFO     | __main__:__init__:20 - Initializing CampaignWorkflow...
2025-07-18 00:50:16.566 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:50:17.107 | INFO     | workflows.graphs.campaign.nodes.segment_node:__init__:45 - UserSegmenter initialized successfully.
2025-07-18 00:50:17.108 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:50:17.419 | INFO     | workflows.graphs.campaign.nodes.recommend_node:__init__:37 - RecommendNode initialized successfully with recommendation generation chain.
2025-07-18 00:50:17.420 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:50:17.746 | INFO     | workflows.graphs.campaign.nodes.generate_ad_node:__init__:36 - GenerateAdNode initialized successfully with ad generation chain.
2025-07-18 00:50:17.747 | INFO     | core.llm_manager:create_llm:82 - Initializing LLM provider: groq | Temperature: 0.0 | Overrides: {}
2025-07-18 00:50:18.062 | INFO     | workflows.graphs.campaign.nodes.human_in_the_loop_node:__init__:44 - HumanReviewRouter initialized successfully
2025-07-18 00:50:18.063 | INFO     | workflows.graphs.campaign.nodes.feedback_loop_node:__init__:16 - FeedbackLoopNode initialized successfully.
2025-07-18 00:50:18.064 | INFO     | __main__:_build_graph:53 - Workflow graph defined.
2025-07-18 00:50:18.070 | INFO     | __main__:__init__:30 - CampaignOrchestrator initialized successfully
2025-07-18 00:50:18.070 | INFO     | __main__:run:92 - Running CampaignWorkflow for user_id=abcd, query='Launch summer sale campaign for Gen Z'
